# Lyresong Tabulature Format
# Title: Iliad Book 14 for scale E4,F4,G4,A4,B4,C5,D5
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Melody | Harmony | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
# Harmony is written as a parallel voice below the melody
#

  1  | D5= B4 D5 D5= D5 G4 A4= F4 A4 C5= D5= G4= C5 B4 D5= B4= | D5+F4+A4= B4+D5+F4 D5+F4+A4 D5+F4+A4= D5+F4+A4 G4+B4+D5 A4+C5+E4= F4+A4+C5 A4+C5+E4 C5+E4+G4= D5+F4+A4= G4+B4+D5= C5+E4+G4 B4+D5+F4 D5+F4+A4= B4+D5+F4= | Νέστορα δ’οὐκ ἔλαθεν ἰαχὴ πίνοντά περ ἔμπης,                 | 0.731
  2  | E4= F4= A4= G4 D5 A4= C5 A4 F4= F4 A4 G4= E4 A4 A4= F4= | E4+G4+B4= F4+A4+C5= A4+C5+E4= G4+B4+D5 D5+F4+A4 A4+C5+E4= C5+E4+G4 A4+C5+E4 F4+A4+C5= F4+A4+C5 A4+C5+E4 G4+B4+D5= E4+G4+B4 A4+C5+E4 A4+C5+E4= F4+A4+C5= | ἀλλ’ Ἀσκληπιάδην ἔπεα πτερόεντα προσηύδα·                    | 0.765
  3  | D5= C5 D5 B4-G4 A4 B4 A4-F4 B4 D5 B4= D5= D5= D5 A4 D5= D5= | D5+F4+A4= C5+E4+G4 D5+F4+A4 B4+D5-G4+D5 A4+C5+E4 B4+D5+F4 A4+C5-F4+C5 B4+D5+F4 D5+F4+A4 B4+D5+F4= D5+F4+A4= D5+F4+A4= D5+F4+A4 A4+C5+E4 D5+F4+A4= D5+F4+A4= | φράζεο δῖε Μαχᾶον ὅπως ἔσται τάδε ἔργα·                      | 0.731
  4  | D5= G4= A4= A4 A4 A4= A4 A4 A4= B4 A4 B4-A4 A4= F4= C5-B4 | D5+F4+A4= G4+B4+D5= A4+C5+E4= A4+C5+E4 A4+C5+E4 A4+C5+E4= A4+C5+E4 A4+C5+E4 A4+C5+E4= B4+D5+F4 A4+C5+E4 B4+D5-A4+E4 A4+C5+E4= F4+A4+C5= C5+E4-B4+F4 | μείζων δὴ παρὰ νηυσὶ βοὴ θαλερῶν αἰζηῶν.                     | 0.750
  5  | E4= G4 F4 F4= B4-G4 C5-A4 E4 A4 D5= D5 C5 D5= D5 D5 B4-G4 A4= | E4+G4+B4= G4+B4+D5 F4+A4+C5 F4+A4+C5= B4+D5-G4+D5 C5+E4-A4+E4 E4+G4+B4 A4+C5+E4 D5+F4+A4= D5+F4+A4 C5+E4+G4 D5+F4+A4= D5+F4+A4 D5+F4+A4 B4+D5-G4+D5 A4+C5+E4= | ἀλλὰ σὺ μὲν νῦν πῖνε καθήμενος αἴθοπα οἶνον                  | 0.704
  6  | B4= C5 C5 A4= F4 D5 C5= C5 C5 C5= D5 G4 G4= A4 B4 C5= F4= | B4+D5+F4= C5+E4+G4 C5+E4+G4 A4+C5+E4= F4+A4+C5 D5+F4+A4 C5+E4+G4= C5+E4+G4 C5+E4+G4 C5+E4+G4= D5+F4+A4 G4+B4+D5 G4+B4+D5= A4+C5+E4 B4+D5+F4 C5+E4+G4= F4+A4+C5= | εἰς ὅ κε θερμὰ λοετρὰ ἐϋπλόκαμος Ἑκαμήδη                     | 0.770
  7  | F4= F4= E4= F4= C5= C5 A4 F4= F4 F4 A4= D5 D5 C5= G4= | F4+A4+C5= F4+A4+C5= E4+G4+B4= F4+A4+C5= C5+E4+G4= C5+E4+G4 A4+C5+E4 F4+A4+C5= F4+A4+C5 F4+A4+C5 A4+C5+E4= D5+F4+A4 D5+F4+A4 C5+E4+G4= G4+B4+D5= | θερμήνῃ καὶ λούσῃ ἄπο βρότον αἱματόεντα·                     | 0.743
  8  | G4= D5 A4 F4= A4= B4= D5 D5 D5= C5 A4 C5= A4 G4 G4= C5= | G4+B4+D5= D5+F4+A4 A4+C5+E4 F4+A4+C5= A4+C5+E4= B4+D5+F4= D5+F4+A4 D5+F4+A4 D5+F4+A4= C5+E4+G4 A4+C5+E4 C5+E4+G4= A4+C5+E4 G4+B4+D5 G4+B4+D5= C5+E4+G4= | αὐτὰρ ἐγὼν ἐλθὼν τάχα εἴσομαι ἐς περιωπήν.                   | 0.746
  9  | G4= A4= B4= D5 B4 C5-B4 B4 B4 B4= D5 B4 B4-A4 A4 F4 C5-B4 B4= | G4+B4+D5= A4+C5+E4= B4+D5+F4= D5+F4+A4 B4+D5+F4 C5+E4-B4+F4 B4+D5+F4 B4+D5+F4 B4+D5+F4= D5+F4+A4 B4+D5+F4 B4+D5-A4+E4 A4+C5+E4 F4+A4+C5 C5+E4-B4+F4 B4+D5+F4= | ὣς εἰπὼν σάκος εἷλε τετυγμένον υἷος ἑοῖο                     | 0.711
 10  | A4= A4 A4 E4= A4 A4 E4= A4 G4 D5= A4 E4 G4= B4 C5 A4= C5= | A4+C5+E4= A4+C5+E4 A4+C5+E4 E4+G4+B4= A4+C5+E4 A4+C5+E4 E4+G4+B4= A4+C5+E4 G4+B4+D5 D5+F4+A4= A4+C5+E4 E4+G4+B4 G4+B4+D5= B4+D5+F4 C5+E4+G4 A4+C5+E4= C5+E4+G4= | κείμενον ἐν κλισίῃ Θρασυμήδεος ἱπποδάμοιο                    | 0.760
