# Lyresong Tabulature Format
# Title: Odyssey Book 6 for scale E4,F4,G4,A4,B4,C5,D5
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Melody | Harmony | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
# Harmony is written as a parallel voice below the melody
#

  1  | F4= G4 B4 D5= B4 G4 C5-A4 G4 G4 D5= D5= D5-B4 C5 C5 F4= E4= | F4+A4+C5= G4+B4+D5 B4+D5+F4 D5+F4+A4= B4+D5+F4 G4+B4+D5 C5+E4-A4+E4 G4+B4+D5 G4+B4+D5 D5+F4+A4= D5+F4+A4= D5+F4-B4+F4 C5+E4+G4 C5+E4+G4 F4+A4+C5= E4+G4+B4= | ὣς ὁ μὲν ἔνθα καθεῦδε πολύτλας δῖος Ὀδυσσεὺς                 | 0.695
  2  | D5= G4= E4= A4 D5 A4= C5= B4= D5 D5 C5= D5 D5 D5= D5= | D5+F4+A4= G4+B4+D5= E4+G4+B4= A4+C5+E4 D5+F4+A4 A4+C5+E4= C5+E4+G4= B4+D5+F4= D5+F4+A4 D5+F4+A4 C5+E4+G4= D5+F4+A4 D5+F4+A4 D5+F4+A4= D5+F4+A4= | ὕπνῳ καὶ καμάτῳ ἀρημένος· αὐτὰρ Ἀθήνη                        | 0.717
  3  | A4-G4 A4= B4= D5= B4= A4= A4-G4 G4-F4 G4= B4 D5 C5= B4= | A4+C5-G4+D5 A4+C5+E4= B4+D5+F4= D5+F4+A4= B4+D5+F4= A4+C5+E4= A4+C5-G4+D5 G4+B4-F4+C5 G4+B4+D5= B4+D5+F4 D5+F4+A4 C5+E4+G4= B4+D5+F4= | βῆ ῥ’ἐς Φαιήκων ἀνδρῶν δῆμόν τε πόλιν τε,                    | 0.754
  4  | C5= D5= B4= D5 D5 B4= A4 F4 E4= A4 D5 B4= C5 D5 D5= B4= | C5+E4+G4= D5+F4+A4= B4+D5+F4= D5+F4+A4 D5+F4+A4 B4+D5+F4= A4+C5+E4 F4+A4+C5 E4+G4+B4= A4+C5+E4 D5+F4+A4 B4+D5+F4= C5+E4+G4 D5+F4+A4 D5+F4+A4= B4+D5+F4= | οἳ πρὶν μέν ποτ’ ἔναιον ἐν εὐρυχόρῳ Ὑπερείῃ,                 | 0.753
  5  | A4= D5-C5 A4= D5= B4= A4= B4-A4 F4 A4 A4= A4 B4 D5= G4= | A4+C5+E4= D5+F4-C5+G4 A4+C5+E4= D5+F4+A4= B4+D5+F4= A4+C5+E4= B4+D5-A4+E4 F4+A4+C5 A4+C5+E4 A4+C5+E4= A4+C5+E4 B4+D5+F4 D5+F4+A4= G4+B4+D5= | ἀγχοῦ Κυκλώπων ἀνδρῶν ὑπερηνορεόντων,                        | 0.740
  6  | B4= A4= B4= D5= C5= D5 D5 C5= D5 B4 D5= G4 A4 A4-G4 F4= | B4+D5+F4= A4+C5+E4= B4+D5+F4= D5+F4+A4= C5+E4+G4= D5+F4+A4 D5+F4+A4 C5+E4+G4= D5+F4+A4 B4+D5+F4 D5+F4+A4= G4+B4+D5 A4+C5+E4 A4+C5-G4+D5 F4+A4+C5= | οἵ σφεας σινέσκοντο, βίηφι δὲ φέρτεροι ἦσαν.                 | 0.730
  7  | D5= C5 A4 C5= D5= C5= D5 B4 G4= D5 C5 A4= F4 A4 B4= D5= | D5+F4+A4= C5+E4+G4 A4+C5+E4 C5+E4+G4= D5+F4+A4= C5+E4+G4= D5+F4+A4 B4+D5+F4 G4+B4+D5= D5+F4+A4 C5+E4+G4 A4+C5+E4= F4+A4+C5 A4+C5+E4 B4+D5+F4= D5+F4+A4= | ἔνθεν ἀναστήσας ἄγε Ναυσίθοος θεοειδής,                      | 0.737
  8  | A4-F4 C5= D5= D5 D5 D5= D5 A4 B4= A4-F4 G4= F4= D5= D5= | A4+C5-F4+C5 C5+E4+G4= D5+F4+A4= D5+F4+A4 D5+F4+A4 D5+F4+A4= D5+F4+A4 A4+C5+E4 B4+D5+F4= A4+C5-F4+C5 G4+B4+D5= F4+A4+C5= D5+F4+A4= D5+F4+A4= | εἷσεν δὲ Σχερίῃ, ἑκὰς ἀνδρῶν ἀλφηστάων,                      | 0.738
  9  | E4= B4 F4 A4-F4 E4 D5 G4= B4 D5 D5= C5 D5 D5= C5 D5 D5= B4= | E4+G4+B4= B4+D5+F4 F4+A4+C5 A4+C5-F4+C5 E4+G4+B4 D5+F4+A4 G4+B4+D5= B4+D5+F4 D5+F4+A4 D5+F4+A4= C5+E4+G4 D5+F4+A4 D5+F4+A4= C5+E4+G4 D5+F4+A4 D5+F4+A4= B4+D5+F4= | ἀμφὶ δὲ τεῖχος ἔλασσε πόλει, καὶ ἐδείματο οἴκους,            | 0.733
 10  | B4= E4= G4= D5= C5= D5 D5 D5-B4 G4 F4 D5= B4 D5 D5= D5= | B4+D5+F4= E4+G4+B4= G4+B4+D5= D5+F4+A4= C5+E4+G4= D5+F4+A4 D5+F4+A4 D5+F4-B4+F4 G4+B4+D5 F4+A4+C5 D5+F4+A4= B4+D5+F4 D5+F4+A4 D5+F4+A4= D5+F4+A4= | καὶ νηοὺς ποίησε θεῶν, καὶ ἐδάσσατ’ ἀρούρας.                 | 0.700
 11  | E4= A4 A4 A4= G4= E4= B4 D5 B4= D5 G4 A4= G4 A4 A4= F4= | E4+G4+B4= A4+C5+E4 A4+C5+E4 A4+C5+E4= G4+B4+D5= E4+G4+B4= B4+D5+F4 D5+F4+A4 B4+D5+F4= D5+F4+A4 G4+B4+D5 A4+C5+E4= G4+B4+D5 A4+C5+E4 A4+C5+E4= F4+A4+C5= | ἀλλ’ ὁ μὲν ἤδη κηρὶ δαμεὶς Ἄϊδόσδε βεβήκει,                  | 0.743
 12  | C5= D5 B4 G4= F4 A4 B4-A4 C5 D5 B4-A4 D5 B4 D5= C5 A4 C5= D5= | C5+E4+G4= D5+F4+A4 B4+D5+F4 G4+B4+D5= F4+A4+C5 A4+C5+E4 B4+D5-A4+E4 C5+E4+G4 D5+F4+A4 B4+D5-A4+E4 D5+F4+A4 B4+D5+F4 D5+F4+A4= C5+E4+G4 A4+C5+E4 C5+E4+G4= D5+F4+A4= | Ἀλκίνοος δὲ τότ’ ἦρχε, θεῶν ἄπο μήδεα εἰδώς.                 | 0.709
 13  | A4-G4 E4 G4 G4= C5= C5-B4 G4 G4 B4= D5= B4-A4 A4 F4 A4= E4= | A4+C5-G4+D5 E4+G4+B4 G4+B4+D5 G4+B4+D5= C5+E4+G4= C5+E4-B4+F4 G4+B4+D5 G4+B4+D5 B4+D5+F4= D5+F4+A4= B4+D5-A4+E4 A4+C5+E4 F4+A4+C5 A4+C5+E4= E4+G4+B4= | τοῦ μὲν ἔβη πρὸς δῶμα θεά, γλαυκῶπις Ἀθήνη,                  | 0.682
 14  | D5= D5 G4 A4= A4-F4 E4= G4 G4 D5= G4 G4 B4= B4 D5 G4= G4= | D5+F4+A4= D5+F4+A4 G4+B4+D5 A4+C5+E4= A4+C5-F4+C5 E4+G4+B4= G4+B4+D5 G4+B4+D5 D5+F4+A4= G4+B4+D5 G4+B4+D5 B4+D5+F4= B4+D5+F4 D5+F4+A4 G4+B4+D5= G4+B4+D5= | νόστον Ὀδυσσῆι μεγαλήτορι μητιόωσα.                          | 0.741
 15  | B4-G4 D5 G4 A4= D5 A4 C5= F4 E4 D5= D5 D5 D5-B4 D5 B4 D5= D5= | B4+D5-G4+D5 D5+F4+A4 G4+B4+D5 A4+C5+E4= D5+F4+A4 A4+C5+E4 C5+E4+G4= F4+A4+C5 E4+G4+B4 D5+F4+A4= D5+F4+A4 D5+F4+A4 D5+F4-B4+F4 D5+F4+A4 B4+D5+F4 D5+F4+A4= D5+F4+A4= | βῆ δ’ἴμεν ἐς θάλαμον πολυδαίδαλον, ᾧ ἔνι κούρη               | 0.738
 16  | B4= B4-A4 C5= D5 D5 B4= G4 E4 B4= D5= B4-A4 B4 D5 D5= B4= | B4+D5+F4= B4+D5-A4+E4 C5+E4+G4= D5+F4+A4 D5+F4+A4 B4+D5+F4= G4+B4+D5 E4+G4+B4 B4+D5+F4= D5+F4+A4= B4+D5-A4+E4 B4+D5+F4 D5+F4+A4 D5+F4+A4= B4+D5+F4= | κοιμᾶτ’ ἀθανάτῃσι φυὴν καὶ εἶδος ὁμοίη,                      | 0.700
