# Lyresong Tabulature Format
# Title: Iliad Book 15 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Iliad Book 15 - 746/746 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | G4= G4 G4 F4= G4 C5 D5= C5 E4 F4= C5= C5= C5 C5 A4= F4=      | αὐτὰρ ἐπεὶ διά τε σκόλοπας καὶ τάφρον ἔβησαν                                     | 0.738
  2  | D5= G4= E4= G4= A4= A4 D5 G4= G4 A4 C5-A4 G4 G4 G4= G4=      | φεύγοντες, πολλοὶ δὲ δάμεν Δαναῶν ὑπὸ χερσίν,                                    | 0.702
  3  | D5= G4= G4= B4 C5 F4= F4 G4 E4= G4= F4= E4 G4 G4= G4=        | οἳ μὲν δὴ παρ’ ὄχεσφιν ἐρητύοντο μένοντες                                        | 0.722
  4  | B4= A4 A4 G4= D5= G4= F4 A4 B4= D5 C5 D5= C5 D5 C5= D5=      | χλωροὶ ὑπαὶ δείους πεφοβημένοι· ἔγρετο δὲ Ζεὺς                                   | 0.728
  5  | D5= B4= G4= E4 G4 B4-A4 F4 G4 B4= C5= D5= D5 B4 D5= B4=      | Ἴδης ἐν κορυφῇσι παρὰ χρυσοθρόνου Ἥρης,                                          | 0.723
  6  | C5-A4 C5 C5 A4= D5= D5= D5 G4 A4= C5-A4 A4= E4 E4 E4= F4=    | στῆ δ’ἄρ’ ἀναΐξας, ἴδε δὲ Τρῶας καὶ Ἀχαιοὺς                                      | 0.692
  7  | F4= A4 A4 A4= A4 D5 A4= A4= A4= G4 D5 A4= A4 D5 B4= B4=      | τοὺς μὲν ὀρινομένους, τοὺς δὲ κλονέοντας ὄπισθεν                                 | 0.718
  8  | B4= D5= C5= D5 A4 F4= A4 B4 D5= D5= B4= D5 D5 B4= A4=        | Ἀργείους, μετὰ δέ σφι Ποσειδάωνα ἄνακτα·                                         | 0.712
  9  | B4= F4 A4 A4= A4 D5 C5= D5 B4 D5= A4 A4 C5= E4 G4 A4-G4 G4=  | Ἕκτορα δ’ἐν πεδίῳ ἴδε κείμενον, ἀμφὶ δ’ἑταῖροι                                   | 0.760
 10  | D5= B4 D5 G4= B4 D5 B4= D5 B4 D5= B4 D5 B4-A4 C5 D5 D5= B4=  | εἵαθ’, ὃ δ’ἀργαλέῳ ἔχετ’ ἄσθματι κῆρ ἀπινύσσων                                   | 0.750
 11  | F4-E4 G4 C5 A4= C5 G4 B4= B4 G4 G4= D5 B4 D5= D5 F4 C5= D5-C5 | αἷμ’ ἐμέων, ἐπεὶ οὔ μιν ἀφαυρότατος βάλ’ Ἀχαιῶν.                                 | 0.752
 12  | E4= F4 F4 D5= D5 D5 D5= D5 B4 G4= D5= B4-G4 C5 A4 A4-F4 G4=  | τὸν δὲ ἰδὼν ἐλέησε πατὴρ ἀνδρῶν τε θεῶν τε,                                      | 0.732
 13  | G4= A4 B4 D5= C5 D5 C5= D5= C5= A4= A4-G4 B4 D5 G4= F4=      | δεινὰ δ’ὑπόδρα ἰδὼν Ἥρην πρὸς μῦθον ἔειπεν·                                      | 0.713
 14  | F4-E4 D5 G4 B4= A4 D5 G4= G4 A4 D5= C5 D5 B4= D5 C5 D5= C5=  | ἦ μάλα δὴ κακότεχνος ἀμήχανε σὸς δόλος Ἥρη                                       | 0.751
 15  | D5= B4 B4 A4-G4 B4 C5 G4= B4 G4 G4= B4 B4 B4= E4 E4 F4= C5=  | Ἕκτορα δῖον ἔπαυσε μάχης, ἐφόβησε δὲ λαούς.                                      | 0.766
 16  | F4= A4= A4-F4 A4= C5-A4 E4 E4 F4= C5 D5 A4= C5 D5 B4= B4-G4  | οὐ μὰν οἶδ’ εἰ αὖτε κακορραφίης ἀλεγεινῆς                                        | 0.737
 17  | D5= C5 D5 D5= G4= F4= G4= A4= G4= G4-F4 G4 A4 D5= B4=        | πρώτη ἐπαύρηαι καί σε πληγῇσιν ἱμάσσω.                                           | 0.741
 18  | B4-A4 D5= B4= D5 C5 D5= D5 B4 D5= D5 B4 G4= E4 G4 B4-A4 B4=  | ἦ οὐ μέμνῃ ὅτε τ’ἐκρέμω ὑψόθεν, ἐκ δὲ ποδοῖιν                                    | 0.740
 19  | D5= C5 A4 B4-A4 C5 D5 C5= A4 F4 E4= G4 B4 C5= D5 D5 B4= A4=  | ἄκμονας ἧκα δύω, περὶ χερσὶ δὲ δεσμὸν ἴηλα                                       | 0.743
