# Lyresong Tabulature Format
# Title: Odyssey Book 5 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 5 - 493/493 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | F4= G4= F4= A4 D5 A4= A4 A4 A4= B4-A4 A4= A4= C5-B4 A4=      | ἠὼς δ’ἐκ λεχέων παρ’ ἀγαυοῦ Τιθωνοῖο                                             | 0.749
  2  | G4= E4 F4 G4= A4 B4 A4= A4 C5 C5= A4 A4 B4= G4 D5 D5-C5 C5=  | ὤρνυθ’, ἵν’ ἀθανάτοισι φόως φέροι ἠδὲ βροτοῖσιν·                                 | 0.778
  3  | A4= E4 G4 E4= D5-B4 D5= B4 B4 D5= B4 B4 B4= D5 G4 A4-F4 C5=  | οἱ δὲ θεοὶ θῶκόνδε καθίζανον, ἐν δ’ἄρα τοῖσι                                     | 0.718
  4  | B4= G4= B4= G4 D5 B4= B4-A4 B4= D5 B4 G4= B4 D5 C5= D5=      | Ζεὺς ὑψιβρεμέτης, οὗ τε κράτος ἐστὶ μέγιστον.                                    | 0.698
  5  | B4-G4 A4 F4 C5= D5= B4= D5 D5 D5= A4 C5 F4= G4 E4 B4-G4 E4=  | τοῖσι δ’Ἀθηναίη λέγε κήδεα πόλλ’ Ὀδυσῆος                                         | 0.719
  6  | B4= D5 D5 B4= D5 B4 G4= E4= G4= A4= D5= C5 D5 D5= C5=        | μνησαμένη· μέλε γάρ οἱ ἐὼν ἐν δώμασι νύμφης·                                     | 0.732
  7  | C5-B4 G4 E4 G4= G4= G4= A4 G4 F4= C5 A4 B4= G4 B4 D5= G4=    | Ζεῦ πάτερ ἠδ’ ἄλλοι μάκαρες θεοὶ αἰὲν ἐόντες,                                    | 0.729
  8  | C5= D5 D5 B4= D5= C5= A4 F4 G4= A4= D5= B4 G4 D5= B4=        | μή τις ἔτι πρόφρων ἀγανὸς καὶ ἤπιος ἔστω                                         | 0.685
  9  | A4= A4-G4 F4= G4 A4 B4= A4= A4= G4 A4 D5= C5 A4 B4= B4=      | σκηπτοῦχος βασιλεύς, μηδὲ φρεσὶν αἴσιμα εἰδώς,                                   | 0.698
 10  | A4= F4= F4= G4 G4 B4= D5= B4= F4= A4= A4 A4 A4= F4=          | ἀλλ’ αἰεὶ χαλεπός τ’εἴη καὶ αἴσυλα ῥέζοι·                                        | 0.716
 11  | B4= C5= D5= D5= B4= G4 E4 G4= B4-A4 G4= D5= C5= D5=          | ὡς οὔ τις μέμνηται Ὀδυσσῆος θείοιο                                               | 0.751
 12  | G4= G4-F4 F4-E4 G4 D5 C5= D5 C5 D5= C5= D5= B4 G4 G4-F4 A4=  | λαῶν οἷσιν ἄνασσε, πατὴρ δ’ὣς ἤπιος ἦεν.                                         | 0.695
 13  | C5= D5 B4 C5= D5= B4= B4-A4 G4= B4 D5 D5= C5 D5 D5= B4=      | ἀλλ’ ὁ μὲν ἐν νήσῳ κεῖται κρατέρ’ ἄλγεα πάσχων                                   | 0.701
 14  | D5= C5= D5= B4 D5 D5= B4 A4 G4= A4-F4 G4= B4 D5 D5= C5=      | νύμφης ἐν μεγάροισι Καλυψοῦς, ἥ μιν ἀνάγκῃ                                       | 0.715
 15  | D5= D5 C5 C5= D5 A4 F4= A4= D5= D5 D5 D5-B4 D5 C5 D5= D5=    | ἴσχει· ὁ δ’οὐ δύναται ἣν πατρίδα γαῖαν ἱκέσθαι·                                  | 0.720
 16  | C5= D5= B4= D5 B4 B4-A4 B4 D5 D5= C5= D5= F4 A4 B4-A4 G4=    | οὐ γάρ οἱ πάρα νῆες ἐπήρετμοι καὶ ἑταῖροι,                                       | 0.698
 17  | D5= B4= D5= D5= D5= A4 A4 A4= D5 C5 C5-A4 C5 D5 D5= D5=      | οἵ κέν μιν πέμποιεν ἐπ’ εὐρέα νῶτα θαλάσσης.                                     | 0.699
 18  | A4-F4 A4-F4 C5-A4 C5 E4 G4= G4 B4 G4= D5-B4 D5= C5 D5 D5= C5= | νῦν αὖ παῖδ’ ἀγαπητὸν ἀποκτεῖναι μεμάασιν                                        | 0.706
 19  | A4= F4 A4 A4= D5 D5 E4= A4 B4 F4= E4 G4 E4= A4 A4 A4= F4=    | οἴκαδε νισόμενον· ὁ δ’ἔβη μετὰ πατρὸς ἀκουὴν                                     | 0.766
 20  | B4= D5 C5 D5= B4 D5 B4= D5= G4= B4 D5 D5= C5 D5 B4-A4 F4=    | ἐς Πύλον ἠγαθέην ἠδ’ ἐς Λακεδαίμονα δῖαν.                                        | 0.721
 21  | C5= A4 B4 A4= C5 A4 A4= E4 G4 E4= D5 G4 A4= A4 D5 A4= D5=    | τὴν δ’ἀπαμειβόμενος προσέφη νεφεληγερέτα Ζεύς·                                   | 0.759
 22  | D5= A4 E4 F4= A4-F4 D5= B4 D5 B4= D5 C5 D5= D5 G4 D5= D5=    | τέκνον ἐμόν, ποῖόν σε ἔπος φύγεν ἕρκος ὀδόντων.                                  | 0.722
 23  | F4= G4= B4= B4-A4 G4= A4 A4 D5= C5= D5= D5 C5 A4= A4=        | οὐ γὰρ δὴ τοῦτον μὲν ἐβούλευσας νόον αὐτή,                                       | 0.728
 24  | C5= D5= B4= D5= B4= D5 A4 G4= E4 G4 D5= B4 D5 A4= C5=        | ὡς ἤτοι κείνους Ὀδυσεὺς ἀποτίσεται ἐλθών;                                        | 0.749
 25  | D5= D5 A4 E4= G4 D5 C5= C5 G4 G4= B4 D5 G4= D5 B4 C5= D5=    | Τηλέμαχον δὲ σὺ πέμψον ἐπισταμένως, δύνασαι γάρ,                                 | 0.759
 26  | B4= D5 G4 B4= A4= F4= A4= C5= D5 B4 B4-A4 B4 D5 B4= G4=      | ὥς κε μάλ’ ἀσκηθὴς ἣν πατρίδα γαῖαν ἵκηται,                                      | 0.728
 27  | A4= C5-B4 A4= F4= A4= A4 G4 F4= F4 A4 A4= A4 D5 A4= A4=      | μνηστῆρες δ’ἐν νηὶ· παλιμπετὲς ἀπονέωνται.                                       | 0.751
 28  | G4-F4 D5 D5 C5= C5= G4= B4= C5= G4 G4 B4= C5 C5 C5= A4=      | ἦ ῥα καὶ Ἑρμείαν, υἱὸν φίλον, ἀντίον ηὔδα·                                       | 0.697
 29  | D5= D5= F4= A4 A4 B4-G4 E4 B4 D5= D5 D5 D5= D5 A4 F4= A4=    | Ἑρμεία, σὺ γὰρ αὖτε τά τ’ἄλλα περ ἄγγελός ἐσσι,                                  | 0.750
 30  | D5= B4 G4 E4= A4 D5 C5= D5= B4-A4 C5= D5= D5 B4 C5= D5=      | νύμφῃ ἐυπλοκάμῳ εἰπεῖν νημερτέα βουλήν,                                          | 0.708
 31  | B4= E4 B4 A4= D5-C5 C5= F4 A4 C5= C5 G4 A4= G4 A4 A4= A4=    | νόστον Ὀδυσσῆος ταλασίφρονος, ὥς κε νέηται                                       | 0.718
 32  | G4= G4 C5 C5-B4 D5= B4-A4 F4= F4= F4= A4-G4 C5= D5= C5=      | οὔτε θεῶν πομπῇ οὔτε θνητῶν ἀνθρώπων·                                            | 0.780
 33  | G4= F4 G4 A4= A4 D5 A4= G4 B4 D5= C5= D5= C5 D5 D5= C5=      | ἀλλ’ ὅ γ’ἐπὶ σχεδίης πολυδέσμου πήματα πάσχων                                    | 0.723
 34  | D5= C5 F4 F4= A4= C5-A4 B4 D5 G4= B4 D5 B4= D5 D5 D5= G4=    | ἤματί κ’εἰκοστῷ Σχερίην ἐρίβωλον ἵκοιτο,                                         | 0.730
 35  | A4= D5= D5= B4= G4-F4 A4 D5 B4= D5 B4 C5= D5 D5 D5= A4=      | Φαιήκων ἐς γαῖαν, οἳ ἀγχίθεοι γεγάασιν,                                          | 0.759
 36  | F4= A4= A4= A4 G4 B4-A4 A4 F4 F4= A4= A4= D5= B4= A4=        | οἵ κέν μιν περὶ κῆρι θεὸν ὣς τιμήσουσι,                                          | 0.733
 37  | D5= C5= D5= G4= B4= D5 D5 B4= C5= D5= D5 B4 B4-A4 F4=        | πέμψουσιν δ’ἐν νηὶ φίλην ἐς πατρίδα γαῖαν,                                       | 0.713
 38  | G4= A4= A4= F4= D5= B4 A4 A4= A4= G4-F4 A4 C5 C5= A4=        | χαλκόν τε χρυσόν τε ἅλις ἐσθῆτά τε δόντες,                                       | 0.715
 39  | B4= D5 F4 G4= B4 D5 B4= D5= C5= B4= D5= B4 G4 E4= G4=        | πόλλ’, ὅσ’ ἂν οὐδέ ποτε Τροίης ἐξήρατ’ Ὀδυσσεύς,                                 | 0.703
 40  | E4= E4 E4 E4= E4= F4-E4 E4 C5 C5= D5 E4 G4= B4 B4 B4-A4 E4=  | εἴ περ ἀπήμων ἦλθε, λαχὼν ἀπὸ ληίδος αἶσαν.                                      | 0.721
 41  | G4= A4= G4= G4-F4 G4= A4 D5 C5= D5 D5 C5= D5 B4 D5= G4=      | ὣς γάρ οἱ μοῖρ’ ἐστὶ φίλους τ’ἰδέειν καὶ ἱκέσθαι                                 | 0.740
 42  | B4-A4 B4 D5 B4= D5 B4 D5= G4 A4 C5= D5= B4= D5 B4 B4-A4 F4=  | οἶκον ἐς ὑψόροφον καὶ ἑὴν ἐς πατρίδα γαῖαν.                                      | 0.720
 43  | G4= A4 E4 G4= G4 B4 G4= A4 A4 A4= F4 E4 G4= G4 B4 B4= E4=    | ὣς ἔφατ’, οὐδ’ ἀπίθησε διάκτορος ἀργεϊφόντης.                                    | 0.763
 44  | A4= B4 D5 A4= G4 E4 G4= G4 F4 D5= B4 E4 G4= E4 C5 C5= C5=    | αὐτίκ’ ἔπειθ’ ὑπὸ ποσσὶν ἐδήσατο καλὰ πέδιλα,                                    | 0.760
 45  | C5= D5 B4 D5= D5= B4= C5 D5 B4= D5 B4 G4= E4 G4 E4= A4=      | ἀμβρόσια χρύσεια, τά μιν φέρον ἠμὲν ἐφ’ ὑγρὴν                                    | 0.744
 46  | E4= F4 G4 D5= C5 D5 D5-C5 D5 D5 C5= B4= B4-A4 G4 D5 C5= D5=  | ἠδ’ ἐπ’ ἀπείρονα γαῖαν ἅμα πνοιῇς ἀνέμοιο.                                       | 0.687
 47  | D5= B4 D5 C5= D5= A4= A4-F4 F4= B4-G4 D5= B4 D5 D5= B4=      | εἵλετο δὲ ῥάβδον, τῇ τ’ἀνδρῶν ὄμματα θέλγει,                                     | 0.724
 48  | B4-A4 C5 D5 B4= A4= B4-A4 F4 A4 C5= D5= B4= G4 B4 D5= B4=    | ὧν ἐθέλει, τοὺς δ’αὖτε καὶ ὑπνώοντας ἐγείρει.                                    | 0.690
 49  | B4= G4 D5 B4= E4 B4 B4= D5 G4 G4= E4 G4 A4= B4 G4 C5= F4=    | τὴν μετὰ χερσὶν ἔχων πέτετο κρατὺς ἀργεϊφόντης.                                  | 0.776
 50  | C5= D5 D5 B4= A4 G4 E4= G4= B4= D5 B4 D5= B4 C5 D5= C5=      | Πιερίην δ’ἐπιβὰς ἐξ αἰθέρος ἔμπεσε πόντῳ·                                        | 0.732
 51  | D5= C5 D5 B4= D5 A4 B4-A4 B4 D5 B4= D5= B4= G4 E4 F4= G4=    | σεύατ’ ἔπειτ’ ἐπὶ κῦμα λάρῳ ὄρνιθι ἐοικώς,                                       | 0.703
 52  | C5= D5 C5 A4= C5= D5= D5= B4= G4 A4 B4= D5 D5 C5= A4=        | ὅς τε κατὰ δεινοὺς κόλπους ἁλὸς ἀτρυγέτοιο                                       | 0.710
 53  | B4= B4-A4 B4= D5= B4= G4 E4 G4= E4 G4 D5= B4 C5 D5= C5=      | ἰχθῦς ἀγρώσσων πυκινὰ πτερὰ δεύεται ἅλμῃ·                                        | 0.746
 54  | A4-G4 A4 G4 G4= C5 C5 G4= A4 D5 D5= D5 B4 E4= E4 E4 G4= G4-F4 | τῷ ἴκελος πολέεσσιν ὀχήσατο κύμασιν Ἑρμῆς.                                       | 0.772
 55  | B4= D5 C5 B4= D5= B4-A4 C5 D5 D5= B4 G4 E4= G4 A4 B4-A4 C5=  | ἀλλ’ ὅτε δὴ τὴν νῆσον ἀφίκετο τηλόθ’ ἐοῦσαν,                                     | 0.709
 56  | A4= D5= D5= D5= D5= B4 E4 A4= D5 B4 D5= D5= D5= G4=          | ἔνθ’ ἐκ πόντου βὰς ἰοειδέος ἤπειρόνδε                                            | 0.725
 57  | D5= D5 D5 D5= B4 D5 D5= D5 G4 D5= A4 B4 D5-B4 D5 B4 D5= A4=  | ἤιεν, ὄφρα μέγα σπέος ἵκετο, τῷ ἔνι νύμφη                                        | 0.734
 58  | A4-F4 G4 D5 B4= D5 B4 B4= G4= D5= D5 D5 D5= A4 D5 C5-A4 A4=  | ναῖεν ἐυπλόκαμος· τὴν δ’ἔνδοθι τέτμεν ἐοῦσαν.                                    | 0.706
 59  | F4-E4 F4 C5 G4= G4 D5 B4= G4 G4 D5= A4 C5 D5= D5 D5 D5= B4=  | πῦρ μὲν ἐπ’ ἐσχαρόφιν μέγα καίετο, τηλόσε δ’ὀδμὴ                                 | 0.782
 60  | C5= C5= A4= A4 A4 G4= G4 G4 F4= F4 A4 A4-G4 E4 D5 D5= B4=    | κέδρου τ’εὐκεάτοιο θύου τ’ἀνὰ νῆσον ὀδώδει                                       | 0.710
 61  | C5= D5 D5 B4= D5= D5= B4 A4 F4= G4 D5 B4= G4 E4 G4= B4-A4    | δαιομένων· ἡ δ’ἔνδον ἀοιδιάουσ’ ὀπὶ καλῇ                                         | 0.740
 62  | G4= B4 D5 D5= A4 D5 D5= D5= D5= G4= E4= F4 D5 B4= G4=        | ἱστὸν ἐποιχομένη χρυσείῃ κερκίδ’ ὕφαινεν.                                        | 0.713
 63  | D5= C5= D5= D5 C5 A4= C5 D5 D5= B4= G4= B4 D5 C5= D5=        | ὕλη δὲ σπέος ἀμφὶ πεφύκει τηλεθόωσα,                                             | 0.716
 64  | D5= B4= D5= B4= G4= B4 C5 D5= D5= C5= A4 D5 C5= D5=          | κλήθρη τ’αἴγειρός τε καὶ εὐώδης κυπάρισσος.                                      | 0.705
 65  | B4= B4 B4 B4= G4= A4= C5 B4 D5= A4 E4 G4= B4= B4= G4=        | ἔνθα δέ τ’ὄρνιθες τανυσίπτεροι εὐνάζοντο,                                        | 0.730
 66  | A4-F4 B4= D5= B4= E4= G4 G4 D5= D5= D5= B4 D5 B4-G4 D5=      | σκῶπές τ’ἴρηκές τε τανύγλωσσοί τε κορῶναι                                        | 0.713
 67  | B4= D5 B4 D5= B4-A4 C5= D5 C5 D5= B4 G4 D5= B4 D5 C5= D5=    | εἰνάλιαι, τῇσίν τε θαλάσσια ἔργα μέμηλεν.                                        | 0.712
 68  | G4= C5= A4-F4 C5 D5 D5= C5 D5 D5= D5= D5= C5 B4 D5-B4 E4=    | ἡ δ’αὐτοῦ τετάνυστο περὶ σπείους γλαφυροῖο                                       | 0.685
 69  | F4= C5 B4 D5= D5= G4= A4 D5 D5= B4= G4= D5 D5 B4-G4 D5=      | ἡμερὶς ἡβώωσα, τεθήλει δὲ σταφυλῇσι.                                             | 0.677
 70  | B4-G4 F4= B4= D5= D5= D5 C5 D5= D5 C5 D5= D5 D5 G4= C5-A4    | κρῆναι δ’ἑξείης πίσυρες ῥέον ὕδατι λευκῷ,                                        | 0.729
 71  | G4= D5 A4 F4= D5= D5= D5= B4= D5 B4 D5= A4 C5 D5= A4=        | πλησίαι ἀλλήλων τετραμμέναι ἄλλυδις ἄλλη.                                        | 0.704
 72  | C5= A4 F4 G4= B4-G4 G4= B4 G4 B4= D5 G4 B4= B4 A4 D5= G4=    | ἀμφὶ δὲ λειμῶνες μαλακοὶ ἴου ἠδὲ σελίνου                                         | 0.741
 73  | D5= A4 B4 B4= G4 C5 F4= F4 A4 D5= D5 B4 E4= G4 B4 E4= F4=    | θήλεον. ἔνθα κ’ἔπειτα καὶ ἀθάνατός περ ἐπελθὼν                                   | 0.756
 74  | C5= D5= B4= G4 B4 G4= A4= B4= D5= B4= G4 B4 B4-A4 F4=        | θηήσαιτο ἰδὼν καὶ τερφθείη φρεσὶν ᾗσιν.                                          | 0.726
 75  | D5= A4= D5= G4= B4-G4 F4 D5 D5= G4 B4 D5= D5 C5 D5= D5=      | ἔνθα στὰς θηεῖτο διάκτορος ἀργεϊφόντης.                                          | 0.743
