# Lyresong Tabulature Format
# Title: Odyssey Book 8 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 8 - 586/586 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | B4-G4 G4= D5= C5 D5 D5= D5 D5 G4= A4 F4 D5= A4 A4 B4= B4=    | ἦμος δ’ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς,                                          | 0.758
  2  | E4= E4 E4 G4= D5= D5-C5 F4 A4 C5= D5 C5 B4= B4 D5 D5= A4=    | ὤρνυτ’ ἄρ’ ἐξ εὐνῆς ἱερὸν μένος Ἀλκινόοιο,                                       | 0.724
  3  | B4= D5 B4 G4= A4 C5 D5= B4-A4 C5= D5 D5 B4= G4 E4 G4= B4=    | ἂν δ’ἄρα διογενὴς ὦρτο πτολίπορθος Ὀδυσσεύς.                                     | 0.717
  4  | B4-A4 C5= D5= D5 D5 B4= D5 G4 F4= G4 E4 E4= F4 D5 G4= G4=    | τοῖσιν δ’ἡγεμόνευ’ ἱερὸν μένος Ἀλκινόοιο                                         | 0.754
  5  | C5= D5= B4= G4 E4 G4= B4= G4= F4 E4 G4= B4 D5 C5= D5=        | Φαιήκων ἀγορήνδ’, ἥ σφιν παρὰ νηυσὶ τέτυκτο.                                     | 0.731
  6  | C5= D5= C5= A4 G4 B4-A4 F4 G4 B4= D5= B4-A4 B4 D5 C5= D5=    | ἐλθόντες δὲ καθῖζον ἐπὶ ξεστοῖσι λίθοισι                                         | 0.710
  7  | F4= C5 A4 G4= B4 B4 C5= A4 C5 D5= F4 E4 G4= D5 D5 D5= D5=    | πλησίον. ἡ δ’ἀνὰ ἄστυ μετῴχετο Παλλὰς Ἀθήνη                                      | 0.766
  8  | B4= D5 D5 C5= D5= C5= D5 B4 D5= C5 A4 G4= B4 D5 C5= D5=      | εἰδομένη κήρυκι δαΐφρονος Ἀλκινόοιο,                                             | 0.728
  9  | D5= C5 A4 G4= B4-A4 B4= C5 D5 D5= B4 G4 B4= D5 D5 C5= D5=    | νόστον Ὀδυσσῆϊ μεγαλήτορι μητιόωσα,                                              | 0.717
 10  | G4= A4 F4 D5= D5= A4= B4 D5 D5= B4 D5 C5= D5 C5 B4-G4 B4=    | καί ῥα ἑκάστῳ φωτὶ παρισταμένη φάτο μῦθον·                                       | 0.717
