# Lyresong Tabulature Format
# Title: Iliad Book 1 - Lyresong D5-C5-A4-D5 for scale A4,B4,C5,D5,E5,F5,G5
# Subtitle: Iliad Book 1 - 611/611 lines passed prosody validation
# Scale: A4 B4 C5 D5 E5 F5 G5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | C5-B4 D5 D5 B4= D5 D5 B4= D5= D5= D5 D5 B4= D5 E5 B4-A4 D5=  | μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος                                                | 0.707
  2  | D5= C5 D5 D5= F5= D5= G5 D5 B4= D5-B4 D5= B4 D5 D5= A4=      | οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,                                          | 0.697
  3  | B4= D5= C5= D5= B4= D5= F5= D5 C5 A4= C5 D5 C5= A4=          | πολλὰς δ’ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν                                            | 0.728
  4  | D5= D5= D5= D5= E5= C5 D5 D5= C5 D5 B4-A4 D5 D5 C5= D5=      | ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν                                           | 0.712
  5  | D5= D5= G5-E5 G5 E5 D5-B4 D5 D5 E5= D5 B4 D5= B4 C5 A4= C5=  | οἰωνοῖσί τε πᾶσι, Διὸς δ’ἐτελείετο βουλή,                                        | 0.718
  6  | D5= D5-C5 D5= D5= B4-A4 C5 D5 D5= D5= D5= D5 D5 D5= D5=      | ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε                                             | 0.746
  7  | D5= B4 D5 D5= D5 D5 A4= E5= E5-C5 D5= F5-D5 D5 D5 A4= D5=    | Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.                                       | 0.741
  8  | B4= C5= E5= G5 D5 B4-A4 D5 C5 A4= B4 D5 B4= D5 D5 C5= A4=    | τίς τ’ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;                                       | 0.711
  9  | B4= B4-A4 B4= A4 E5 C5= E5 G5 F5= D5 E5 B4-A4 C5 A4 C5= E5=  | Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς                                     | 0.727
 10  | B4-A4 C5 F5 D5= D5 F5 C5= C5 D5 D5= C5 E5 A4= B4 B4 B4= D5=  | νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,                                 | 0.751
 11  | D5= D5 D5 C5= D5= D5= D5= D5= B4 B4 D5= D5= B4-A4 E5=        | οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα                                               | 0.745
 12  | A4= B4 D5 B4= B4 D5 F5-D5 C5 E5 D5= F5 G5 E5-C5 A4 C5 C5= E5-C5 | Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν                                        | 0.715
 13  | G5= G5 B4 C5= A4 E5 D5= E5 D5 D5= D5 B4 D5= B4 E5 C5= E5=    | λυσόμενός τε θύγατρα φέρων τ’ἀπερείσι’ ἄποινα,                                   | 0.759
 14  | D5= D5 D5 D5= D5= B4= E5 B4 B4= D5 D5 D5= D5= D5= C5=        | στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος                                       | 0.700
 15  | D5= D5 D5 D5= D5= D5= E5= D5= D5 C5 D5= D5 B4 D5= D5=        | χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,                                  | 0.733
 16  | B4= C5 D5 D5= B4 D5 D5= B4 D5 D5= D5= D5= C5 C5 D5= B4-A4    | Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·                                          | 0.715
 17  | D5= B4 D5 C5= E5 C5 D5= D5 D5 D5= D5= D5= C5 C5 D5= E5=      | Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,                                         | 0.721
 18  | D5= C5-B4 D5= D5= B4-A4 D5 D5 D5= D5 D5 D5= D5 D5 D5= D5=    | ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες                                       | 0.745
 19  | D5= D5= D5= D5 D5 D5= C5 D5 D5= D5-C5 D5= B4 D5 D5= D5=      | ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’οἴκαδ’ ἱκέσθαι·                                    | 0.704
 20  | G5-E5 E5 A4 C5= D5= A4= B4 D5 D5= D5 D5 C5= A4 D5 B4= B4=    | παῖδα δ’ἐμοὶ λύσαιτε φίλην, τὰ δ’ἄποινα δέχεσθαι,                                | 0.726
 21  | E5= F5 D5 E5= G5 F5 G5= C5 C5 C5= C5 A4 E5= G5= E5= C5=      | ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.                                            | 0.781
 22  | C5= D5= D5= D5= D5= D5 D5 D5= D5= D5= C5 E5 D5= D5=          | ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ                                         | 0.720
 23  | B4= B4-A4 B4= A4 B4 B4-A4 C5 E5 F5= G5 F5 D5= B4 D5 C5= B4=  | αἰδεῖσθαί θ’ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·                                       | 0.720
 24  | C5= E5= D5= D5 G5 F5= D5 D5 D5= A4 C5 E5= A4 D5 D5= F5-E5    | ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,                                         | 0.756
 25  | B4= D5 E5 B4-A4 B4 D5 B4= D5 F5 G5= E5 D5 B4-A4 C5 D5 B4= A4= | ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ἐπὶ μῦθον ἔτελλε·                                   | 0.716
 26  | E5= C5 D5 B4= D5= B4= D5 D5 D5= D5 D5 D5= D5 B4 D5= D5=      | μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω                                       | 0.758
